id,title,release_date,release_year,runtime,budget,revenue,target_revenue,log_budget,runtime,release_month,log_popularity,vote_average,log_vote_count,cast_count,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music
36196,Party Girl,1995-06-09,1995.0,94.0,150000.0,472370.0,472370.0,11.918397239722838,94.0,6.0,0.7724383751490185,5.8,2.70805020110221,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11980,The Prophecy,1995-09-01,1995.0,98.0,8.0,16.0,16.0,2.1972245773362196,98.0,9.0,2.4148080779539436,6.4,4.941642422609304,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
10533,The Scarlet Letter,1995-10-13,1995.0,135.0,50000000.0,10382407.0,10382407.0,17.72753358339242,135.0,10.0,2.047966225347835,5.5,4.718498871295094,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10802,Showgirls,1995-09-22,1995.0,128.0,45000000.0,20350754.0,20350754.0,17.622173069956816,128.0,9.0,2.917899102222859,4.9,5.568344503761097,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,Smoke,1995-06-09,1995.0,112.0,7000000.0,8349430.0,8349430.0,15.76142084987672,112.0,6.0,1.8799147195228727,7.2,4.7535901911063645,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18402,Something to Talk About,1995-08-04,1995.0,106.0,0.0,50892160.0,50892160.0,0.0,106.0,8.0,1.5567145433454155,5.7,4.110873864173311,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9348,Species,1995-07-07,1995.0,108.0,35000000.0,113374103.0,113374103.0,17.370858648025116,108.0,7.0,2.6736550793650014,5.5,6.126869184114185,53,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
281,Strange Days,1995-10-13,1995.0,145.0,42000000.0,7959291.0,7959291.0,17.553180200057167,145.0,10.0,2.5033239224986565,6.8,5.814130531825066,14,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
79593,The Tie That Binds,1995-09-08,1995.0,99.0,14000000.0,5780000.0,5780000.0,16.454567959008102,99.0,9.0,1.0368854554731592,4.6,2.302585092994046,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47939,Three Wishes,1995-10-27,1995.0,115.0,0.0,7025496.0,7025496.0,0.0,115.0,10.0,2.485077135254527,6.1,2.9444389791664403,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36834,Total Eclipse,1995-11-02,1995.0,111.0,0.0,339889.0,339889.0,0.0,111.0,11.0,1.7131764734343389,6.5,4.727387818712341,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
